PLAYER_ID,GAME_DATE,POTENTIAL_AST,POTENTIAL_AST_L5
203991,2024-10-30,1.0,
203991,2024-11-01,1.0,1.4
203992,2024-10-23,4.0,
203994,2024-10-23,3.0,
203994,2024-10-25,4.0,
203994,2024-10-26,3.0,
203994,2024-10-28,0.0,
203994,2024-10-31,3.0,
203995,2024-10-23,2.0,
203995,2024-10-25,2.0,
203995,2024-10-26,2.0,
203999,2024-10-24,26.0,
203999,2024-10-26,13.0,
203999,2024-10-28,11.0,
203999,2024-10-29,20.0,
203999,2024-11-01,21.0,
204060,2024-10-22,2.0,
204060,2024-10-24,0.0,
204060,2024-10-26,4.0,
204060,2024-10-29,0.0,
204060,2024-11-01,1.0,
204456,2024-10-23,8.0,
204456,2024-10-25,7.0,
204456,2024-10-27,10.0,
204456,2024-10-28,1.0,
204456,2024-10-30,9.0,
204456,2024-11-01,12.0,7.0
1626145,2024-10-23,11.0,
1626145,2024-10-25,7.0,
1626145,2024-10-26,12.0,
1626145,2024-10-28,16.0,
1626145,2024-10-31,18.0,
1626153,2024-10-23,1.0,
1626153,2024-10-25,5.0,
1626153,2024-10-27,2.0,
1626153,2024-10-28,2.0,
1626153,2024-10-31,9.0,
1626156,2024-10-22,12.0,
1626156,2024-10-25,4.0,
1626156,2024-10-26,5.0,
1626156,2024-10-28,14.0,
1626156,2024-10-30,7.0,
1626156,2024-11-01,12.0,8.4
1626157,2024-10-22,3.0,
1626157,2024-10-25,1.0,
1626157,2024-10-28,3.0,
1626157,2024-10-30,1.0,
1626157,2024-11-01,7.0,
1626162,2024-10-23,2.0,
1626162,2024-10-25,4.0,
1626162,2024-10-27,0.0,
1626162,2024-10-30,5.0,
1626164,2024-10-23,11.0,
1626164,2024-10-25,7.0,
1626164,2024-10-26,13.0,
1626164,2024-10-28,7.0,
1626164,2024-10-31,11.0,
1626166,2024-10-22,3.0,
1626166,2024-10-25,3.0,
1626166,2024-10-28,2.0,
1626166,2024-10-30,5.0,
1626166,2024-11-01,4.0,
1626167,2024-10-23,3.0,
1626167,2024-10-25,2.0,
1626167,2024-10-27,4.0,
1626167,2024-10-28,0.0,
1626167,2024-11-01,2.0,
1626168,2024-10-24,1.0,
1626168,2024-10-26,1.0,
1626168,2024-10-28,1.0,
1626168,2024-10-29,1.0,
1626168,2024-11-01,2.0,
1626171,2024-10-23,4.0,
1626171,2024-10-25,2.0,
1626171,2024-10-27,3.0,
1626171,2024-10-28,1.0,
1626171,2024-10-31,1.0,
1626172,2024-10-23,4.0,
1626172,2024-10-25,2.0,
1626172,2024-10-27,4.0,
1626172,2024-10-29,5.0,
1626172,2024-10-30,2.0,
1626179,2024-10-23,7.0,
1626179,2024-10-26,5.0,
1626179,2024-10-28,6.0,
1626179,2024-10-30,11.0,
1626181,2024-10-23,3.0,
1626181,2024-10-26,2.0,
1626181,2024-10-27,1.0,
1626181,2024-10-30,2.0,
1626181,2024-10-31,5.0,
1626192,2024-10-23,1.0,
1626192,2024-10-25,2.0,
1626192,2024-10-27,3.0,
1626192,2024-10-28,1.0,
1626192,2024-10-31,3.0,
1626204,2024-10-28,4.0,
1626204,2024-10-30,0.0,
1626204,2024-11-01,0.0,
1626220,2024-10-23,5.0,
1626220,2024-10-25,5.0,
1626220,2024-10-26,4.0,
1626220,2024-10-28,5.0,
1626220,2024-10-31,4.0,
1627732,2024-10-23,16.0,
1627732,2024-10-25,10.0,
1627732,2024-10-27,10.0,
1627732,2024-10-30,11.0,
1627732,2024-11-01,14.0,
1627734,2024-10-24,6.0,
1627734,2024-10-26,15.0,
1627734,2024-10-28,16.0,
1627734,2024-10-29,6.0,
1627734,2024-11-01,14.0,
1627736,2024-10-23,0.0,
1627736,2024-10-25,2.0,
1627736,2024-10-26,2.0,
1627736,2024-10-28,0.0,
1627736,2024-10-30,2.0,
